Frage,Antwort
Which operating system does Coolpad Torino use?,Android 5.1 
What is the software platform on Coolpad Torino?,Android 5.1 
What is the CPU of Coolpad Torino?,Octa-core (4x1.36 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)
What kind of processor does Coolpad Torino have?,Octa-core (4x1.36 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)
Which CPU is used in Coolpad Torino?,Octa-core (4x1.36 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)
How much RAM does Coolpad Torino have?,16 GB
What is the memory capacity of Coolpad Torino?,16 GB
What is the RAM size on Coolpad Torino?,16 GB
What is the resolution of the front camera on Coolpad Torino?,13 MP| f/2.2| autofocus| LED flash
How many megapixels is the front camera on Coolpad Torino?,13 MP| f/2.2| autofocus| LED flash
What is the quality of the front-facing camera on Coolpad Torino?,13 MP| f/2.2| autofocus| LED flash
What is the price of Coolpad Torino?,200.0
How much does Coolpad Torino cost?,200.0
What is the price tag of Coolpad Torino?,200.0
What is the published year of Coolpad Note 3 Plus?,2016
When was Coolpad Note 3 Plus published?,2016
In which year was Coolpad Note 3 Plus released?,2016
What is the display resolution of Coolpad Note 3 Plus?,5.5 inches 
What is the resolution of the display on Coolpad Note 3 Plus?,5.5 inches 
How many pixels does the display of Coolpad Note 3 Plus have?,5.5 inches 
What is the display size of Coolpad Note 3 Plus?,1080 x 1920 pixels 
How big is the display on Coolpad Note 3 Plus?,1080 x 1920 pixels 
What is the diagonal size of the display on Coolpad Note 3 Plus?,1080 x 1920 pixels 
What is the operating system of Coolpad Note 3 Plus?,Android 5.1 
Which operating system does Coolpad Note 3 Plus use?,Android 5.1 
What is the software platform on Coolpad Note 3 Plus?,Android 5.1 
What is the CPU of Coolpad Note 3 Plus?,Octa-core 1.3 GHz Cortex-A53
What kind of processor does Coolpad Note 3 Plus have?,Octa-core 1.3 GHz Cortex-A53
Which CPU is used in Coolpad Note 3 Plus?,Octa-core 1.3 GHz Cortex-A53
How much RAM does Coolpad Note 3 Plus have?,16 GB
What is the memory capacity of Coolpad Note 3 Plus?,16 GB
What is the RAM size on Coolpad Note 3 Plus?,16 GB
What is the resolution of the front camera on Coolpad Note 3 Plus?,13 MP| f/2.0| autofocus| LED flash
How many megapixels is the front camera on Coolpad Note 3 Plus?,13 MP| f/2.0| autofocus| LED flash
What is the quality of the front-facing camera on Coolpad Note 3 Plus?,13 MP| f/2.0| autofocus| LED flash
What is the price of Coolpad Note 3 Plus?,120.0
How much does Coolpad Note 3 Plus cost?,120.0
What is the price tag of Coolpad Note 3 Plus?,120.0
What is the published year of Coolpad Max?,2016
When was Coolpad Max published?,2016
In which year was Coolpad Max released?,2016
What is the display resolution of Coolpad Max?,5.5 inches 
What is the resolution of the display on Coolpad Max?,5.5 inches 
How many pixels does the display of Coolpad Max have?,5.5 inches 
What is the display size of Coolpad Max?,1080 x 1920 pixels 
How big is the display on Coolpad Max?,1080 x 1920 pixels 
What is the diagonal size of the display on Coolpad Max?,1080 x 1920 pixels 
What is the operating system of Coolpad Max?,Android 5.1 
Which operating system does Coolpad Max use?,Android 5.1 
What is the software platform on Coolpad Max?,Android 5.1 
What is the CPU of Coolpad Max?,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)
What kind of processor does Coolpad Max have?,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)
Which CPU is used in Coolpad Max?,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)
How much RAM does Coolpad Max have?,64 GB
What is the memory capacity of Coolpad Max?,64 GB
What is the RAM size on Coolpad Max?,64 GB
What is the resolution of the front camera on Coolpad Max?,13 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash
How many megapixels is the front camera on Coolpad Max?,13 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash
What is the quality of the front-facing camera on Coolpad Max?,13 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash
What is the price of Coolpad Max?,380.0
How much does Coolpad Max cost?,380.0
What is the price tag of Coolpad Max?,380.0
What is the published year of Coolpad Porto S?,2016
When was Coolpad Porto S published?,2016
In which year was Coolpad Porto S released?,2016
What is the display resolution of Coolpad Porto S?,5.0 inches 
What is the resolution of the display on Coolpad Porto S?,5.0 inches 
How many pixels does the display of Coolpad Porto S have?,5.0 inches 
What is the display size of Coolpad Porto S?,720 x 1280 pixels 
How big is the display on Coolpad Porto S?,720 x 1280 pixels 
What is the diagonal size of the display on Coolpad Porto S?,720 x 1280 pixels 
What is the operating system of Coolpad Porto S?,Android 5.1 
Which operating system does Coolpad Porto S use?,Android 5.1 
What is the software platform on Coolpad Porto S?,Android 5.1 
What is the CPU of Coolpad Porto S?,Quad-core 1.0 GHz Cortex-A53
What kind of processor does Coolpad Porto S have?,Quad-core 1.0 GHz Cortex-A53
Which CPU is used in Coolpad Porto S?,Quad-core 1.0 GHz Cortex-A53
How much RAM does Coolpad Porto S have?,8 GB
What is the memory capacity of Coolpad Porto S?,8 GB
What is the RAM size on Coolpad Porto S?,8 GB
What is the resolution of the front camera on Coolpad Porto S?,8 MP| f/2.4| autofocus| dual-LED flash
How many megapixels is the front camera on Coolpad Porto S?,8 MP| f/2.4| autofocus| dual-LED flash
What is the quality of the front-facing camera on Coolpad Porto S?,8 MP| f/2.4| autofocus| dual-LED flash
What is the price of Coolpad Porto S?,130.0
How much does Coolpad Porto S cost?,130.0
What is the price tag of Coolpad Porto S?,130.0
What is the published year of Coolpad Torino S?,2016
When was Coolpad Torino S published?,2016
In which year was Coolpad Torino S released?,2016
What is the display resolution of Coolpad Torino S?,4.7 inches 
What is the resolution of the display on Coolpad Torino S?,4.7 inches 
How many pixels does the display of Coolpad Torino S have?,4.7 inches 
What is the display size of Coolpad Torino S?,720 x 1280 pixels 
How big is the display on Coolpad Torino S?,720 x 1280 pixels 
What is the diagonal size of the display on Coolpad Torino S?,720 x 1280 pixels 
What is the operating system of Coolpad Torino S?,Android 5.1 
Which operating system does Coolpad Torino S use?,Android 5.1 
What is the software platform on Coolpad Torino S?,Android 5.1 
What is the CPU of Coolpad Torino S?,Quad-core 1.2 GHz Cortex-A53
What kind of processor does Coolpad Torino S have?,Quad-core 1.2 GHz Cortex-A53
Which CPU is used in Coolpad Torino S?,Quad-core 1.2 GHz Cortex-A53
How much RAM does Coolpad Torino S have?,16 GB
What is the memory capacity of Coolpad Torino S?,16 GB
What is the RAM size on Coolpad Torino S?,16 GB
What is the resolution of the front camera on Coolpad Torino S?,8 MP| f/2.2| autofocus| dual-LED flash
How many megapixels is the front camera on Coolpad Torino S?,8 MP| f/2.2| autofocus| dual-LED flash
What is the quality of the front-facing camera on Coolpad Torino S?,8 MP| f/2.2| autofocus| dual-LED flash
What is the price of Coolpad Torino S?,180.0
How much does Coolpad Torino S cost?,180.0
What is the price tag of Coolpad Torino S?,180.0
What is the published year of Coolpad Note 3 Lite?,2016
When was Coolpad Note 3 Lite published?,2016
In which year was Coolpad Note 3 Lite released?,2016
What is the display resolution of Coolpad Note 3 Lite?,5.0 inches 
What is the resolution of the display on Coolpad Note 3 Lite?,5.0 inches 
How many pixels does the display of Coolpad Note 3 Lite have?,5.0 inches 
What is the display size of Coolpad Note 3 Lite?,720 x 1280 pixels 
How big is the display on Coolpad Note 3 Lite?,720 x 1280 pixels 
What is the diagonal size of the display on Coolpad Note 3 Lite?,720 x 1280 pixels 
What is the operating system of Coolpad Note 3 Lite?,Android 5.1 
Which operating system does Coolpad Note 3 Lite use?,Android 5.1 
What is the software platform on Coolpad Note 3 Lite?,Android 5.1 
What is the CPU of Coolpad Note 3 Lite?,Quad-core 1.3 GHz Cortex-A53
What kind of processor does Coolpad Note 3 Lite have?,Quad-core 1.3 GHz Cortex-A53
Which CPU is used in Coolpad Note 3 Lite?,Quad-core 1.3 GHz Cortex-A53
How much RAM does Coolpad Note 3 Lite have?,16 GB
What is the memory capacity of Coolpad Note 3 Lite?,16 GB
What is the RAM size on Coolpad Note 3 Lite?,16 GB
What is the resolution of the front camera on Coolpad Note 3 Lite?,13 MP| f/2.0| autofocus| LED flash
How many megapixels is the front camera on Coolpad Note 3 Lite?,13 MP| f/2.0| autofocus| LED flash
What is the quality of the front-facing camera on Coolpad Note 3 Lite?,13 MP| f/2.0| autofocus| LED flash
What is the price of Coolpad Note 3 Lite?,110.0
How much does Coolpad Note 3 Lite cost?,110.0
What is the price tag of Coolpad Note 3 Lite?,110.0
What is the published year of Coolpad Note 3?,2015
When was Coolpad Note 3 published?,2015
In which year was Coolpad Note 3 released?,2015
What is the display resolution of Coolpad Note 3?,5.5 inches 
What is the resolution of the display on Coolpad Note 3?,5.5 inches 
How many pixels does the display of Coolpad Note 3 have?,5.5 inches 
What is the display size of Coolpad Note 3?,720 x 1280 pixels 
How big is the display on Coolpad Note 3?,720 x 1280 pixels 
What is the diagonal size of the display on Coolpad Note 3?,720 x 1280 pixels 
What is the operating system of Coolpad Note 3?,Android 5.1 
Which operating system does Coolpad Note 3 use?,Android 5.1 
What is the software platform on Coolpad Note 3?,Android 5.1 
What is the CPU of Coolpad Note 3?,Octa-core 1.3 GHz Cortex-A53
What kind of processor does Coolpad Note 3 have?,Octa-core 1.3 GHz Cortex-A53
Which CPU is used in Coolpad Note 3?,Octa-core 1.3 GHz Cortex-A53
How much RAM does Coolpad Note 3 have?,16 GB
What is the memory capacity of Coolpad Note 3?,16 GB
What is the RAM size on Coolpad Note 3?,16 GB
What is the resolution of the front camera on Coolpad Note 3?,13 MP| f/2.0| autofocus| LED flash
How many megapixels is the front camera on Coolpad Note 3?,13 MP| f/2.0| autofocus| LED flash
What is the quality of the front-facing camera on Coolpad Note 3?,13 MP| f/2.0| autofocus| LED flash
What is the price of Coolpad Note 3?,120.0
How much does Coolpad Note 3 cost?,120.0
What is the price tag of Coolpad Note 3?,120.0
What is the published year of Coolpad Shine?,2015
When was Coolpad Shine published?,2015
In which year was Coolpad Shine released?,2015
What is the display resolution of Coolpad Shine?,5.5 inches 
What is the resolution of the display on Coolpad Shine?,5.5 inches 
How many pixels does the display of Coolpad Shine have?,5.5 inches 
What is the display size of Coolpad Shine?,720 x 1280 pixels 
How big is the display on Coolpad Shine?,720 x 1280 pixels 
What is the diagonal size of the display on Coolpad Shine?,720 x 1280 pixels 
What is the operating system of Coolpad Shine?,Android 5.1 
Which operating system does Coolpad Shine use?,Android 5.1 
What is the software platform on Coolpad Shine?,Android 5.1 
What is the CPU of Coolpad Shine?,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)
What kind of processor does Coolpad Shine have?,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)
Which CPU is used in Coolpad Shine?,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)
How much RAM does Coolpad Shine have?,8 GB
What is the memory capacity of Coolpad Shine?,8 GB
What is the RAM size on Coolpad Shine?,8 GB
What is the resolution of the front camera on Coolpad Shine?,13 MP| autofocus| LED flash
How many megapixels is the front camera on Coolpad Shine?,13 MP| autofocus| LED flash
What is the quality of the front-facing camera on Coolpad Shine?,13 MP| autofocus| LED flash
What is the price of Coolpad Shine?,200.0
How much does Coolpad Shine cost?,200.0
What is the price tag of Coolpad Shine?,200.0
What is the published year of Coolpad Modena?,2015
When was Coolpad Modena published?,2015
In which year was Coolpad Modena released?,2015
What is the display resolution of Coolpad Modena?,5.5 inches 
What is the resolution of the display on Coolpad Modena?,5.5 inches 
How many pixels does the display of Coolpad Modena have?,5.5 inches 
What is the display size of Coolpad Modena?,540 x 960 pixels 
How big is the display on Coolpad Modena?,540 x 960 pixels 
What is the diagonal size of the display on Coolpad Modena?,540 x 960 pixels 
What is the operating system of Coolpad Modena?,Android 5.1 
Which operating system does Coolpad Modena use?,Android 5.1 
What is the software platform on Coolpad Modena?,Android 5.1 
What is the CPU of Coolpad Modena?,Quad-core 1.2 GHz Cortex-A53
What kind of processor does Coolpad Modena have?,Quad-core 1.2 GHz Cortex-A53
Which CPU is used in Coolpad Modena?,Quad-core 1.2 GHz Cortex-A53
How much RAM does Coolpad Modena have?,8 GB
What is the memory capacity of Coolpad Modena?,8 GB
What is the RAM size on Coolpad Modena?,8 GB
What is the resolution of the front camera on Coolpad Modena?,8 MP| autofocus| LED flash
How many megapixels is the front camera on Coolpad Modena?,8 MP| autofocus| LED flash
What is the quality of the front-facing camera on Coolpad Modena?,8 MP| autofocus| LED flash
What is the price of Coolpad Modena?,160.0
How much does Coolpad Modena cost?,160.0
What is the price tag of Coolpad Modena?,160.0
What is the published year of Coolpad Porto?,2015
When was Coolpad Porto published?,2015
In which year was Coolpad Porto released?,2015
What is the display resolution of Coolpad Porto?,4.7 inches 
What is the resolution of the display on Coolpad Porto?,4.7 inches 
How many pixels does the display of Coolpad Porto have?,4.7 inches 
What is the display size of Coolpad Porto?,540 x 960 pixels 
How big is the display on Coolpad Porto?,540 x 960 pixels 
What is the diagonal size of the display on Coolpad Porto?,540 x 960 pixels 
What is the operating system of Coolpad Porto?,Android 5.1 
Which operating system does Coolpad Porto use?,Android 5.1 
What is the software platform on Coolpad Porto?,Android 5.1 
What is the CPU of Coolpad Porto?,Quad-core 1.2 GHz Cortex-A53
What kind of processor does Coolpad Porto have?,Quad-core 1.2 GHz Cortex-A53
Which CPU is used in Coolpad Porto?,Quad-core 1.2 GHz Cortex-A53
How much RAM does Coolpad Porto have?,8 GB
What is the memory capacity of Coolpad Porto?,8 GB
What is the RAM size on Coolpad Porto?,8 GB
What is the resolution of the front camera on Coolpad Porto?,8 MP| autofocus| LED flash
How many megapixels is the front camera on Coolpad Porto?,8 MP| autofocus| LED flash
What is the quality of the front-facing camera on Coolpad Porto?,8 MP| autofocus| LED flash
What is the price of Coolpad Porto?,150.0
How much does Coolpad Porto cost?,150.0
What is the price tag of Coolpad Porto?,150.0
What is the published year of Dell Venue 10 7000?,2015
When was Dell Venue 10 7000 published?,2015
In which year was Dell Venue 10 7000 released?,2015
What is the display resolution of Dell Venue 10 7000?,10.5 inches 
What is the resolution of the display on Dell Venue 10 7000?,10.5 inches 
How many pixels does the display of Dell Venue 10 7000 have?,10.5 inches 
What is the display size of Dell Venue 10 7000?,1600 x 2560 pixels 
How big is the display on Dell Venue 10 7000?,1600 x 2560 pixels 
What is the diagonal size of the display on Dell Venue 10 7000?,1600 x 2560 pixels 
What is the operating system of Dell Venue 10 7000?,Android 5.0 
Which operating system does Dell Venue 10 7000 use?,Android 5.0 
What is the software platform on Dell Venue 10 7000?,Android 5.0 
What is the CPU of Dell Venue 10 7000?,Quad-core 2.3 GHz
What kind of processor does Dell Venue 10 7000 have?,Quad-core 2.3 GHz
Which CPU is used in Dell Venue 10 7000?,Quad-core 2.3 GHz
How much RAM does Dell Venue 10 7000 have?,32 GB
What is the memory capacity of Dell Venue 10 7000?,32 GB
What is the RAM size on Dell Venue 10 7000?,32 GB
What is the resolution of the front camera on Dell Venue 10 7000?,8 MP| autofocus
How many megapixels is the front camera on Dell Venue 10 7000?,8 MP| autofocus
What is the quality of the front-facing camera on Dell Venue 10 7000?,8 MP| autofocus
What is the price of Dell Venue 10 7000?,460.0
How much does Dell Venue 10 7000 cost?,460.0
What is the price tag of Dell Venue 10 7000?,460.0
What is the published year of Dell Venue 8 7000?,2014
When was Dell Venue 8 7000 published?,2014
In which year was Dell Venue 8 7000 released?,2014
What is the display resolution of Dell Venue 8 7000?,8.4 inches 
What is the resolution of the display on Dell Venue 8 7000?,8.4 inches 
How many pixels does the display of Dell Venue 8 7000 have?,8.4 inches 
What is the display size of Dell Venue 8 7000?,1600 x 2560 pixels 
How big is the display on Dell Venue 8 7000?,1600 x 2560 pixels 
What is the diagonal size of the display on Dell Venue 8 7000?,1600 x 2560 pixels 
What is the operating system of Dell Venue 8 7000?,Android 4.4.2 | upgradable to 5.0.2 
Which operating system does Dell Venue 8 7000 use?,Android 4.4.2 | upgradable to 5.0.2 
What is the software platform on Dell Venue 8 7000?,Android 4.4.2 | upgradable to 5.0.2 
What is the CPU of Dell Venue 8 7000?,Quad-core 2.3 GHz
What kind of processor does Dell Venue 8 7000 have?,Quad-core 2.3 GHz
Which CPU is used in Dell Venue 8 7000?,Quad-core 2.3 GHz
How much RAM does Dell Venue 8 7000 have?,16/32 GB
What is the memory capacity of Dell Venue 8 7000?,16/32 GB
What is the RAM size on Dell Venue 8 7000?,16/32 GB
What is the resolution of the front camera on Dell Venue 8 7000?,8 MP| f/2.4| autofocus
How many megapixels is the front camera on Dell Venue 8 7000?,8 MP| f/2.4| autofocus
What is the quality of the front-facing camera on Dell Venue 8 7000?,8 MP| f/2.4| autofocus
What is the price of Dell Venue 8 7000?,250.0
How much does Dell Venue 8 7000 cost?,250.0
What is the price tag of Dell Venue 8 7000?,250.0
What is the published year of Gigabyte GSmart Essence 4?,2015
When was Gigabyte GSmart Essence 4 published?,2015
In which year was Gigabyte GSmart Essence 4 released?,2015
What is the display resolution of Gigabyte GSmart Essence 4?,4.0 inches 
What is the resolution of the display on Gigabyte GSmart Essence 4?,4.0 inches 
How many pixels does the display of Gigabyte GSmart Essence 4 have?,4.0 inches 
What is the display size of Gigabyte GSmart Essence 4?,480 x 800 pixels 
How big is the display on Gigabyte GSmart Essence 4?,480 x 800 pixels 
What is the diagonal size of the display on Gigabyte GSmart Essence 4?,480 x 800 pixels 
What is the operating system of Gigabyte GSmart Essence 4?,Android 4.4 
Which operating system does Gigabyte GSmart Essence 4 use?,Android 4.4 
What is the software platform on Gigabyte GSmart Essence 4?,Android 4.4 
What is the CPU of Gigabyte GSmart Essence 4?,Dual-core 1.0 GHz Cortex-A7
What kind of processor does Gigabyte GSmart Essence 4 have?,Dual-core 1.0 GHz Cortex-A7
Which CPU is used in Gigabyte GSmart Essence 4?,Dual-core 1.0 GHz Cortex-A7
How much RAM does Gigabyte GSmart Essence 4 have?,4 GB
What is the memory capacity of Gigabyte GSmart Essence 4?,4 GB
What is the RAM size on Gigabyte GSmart Essence 4?,4 GB
What is the resolution of the front camera on Gigabyte GSmart Essence 4?,2 MP
How many megapixels is the front camera on Gigabyte GSmart Essence 4?,2 MP
What is the quality of the front-facing camera on Gigabyte GSmart Essence 4?,2 MP
What is the price of Gigabyte GSmart Essence 4?,60.0
How much does Gigabyte GSmart Essence 4 cost?,60.0
What is the price tag of Gigabyte GSmart Essence 4?,60.0
What is the published year of Gigabyte GSmart Classic Lite?,2015
When was Gigabyte GSmart Classic Lite published?,2015
In which year was Gigabyte GSmart Classic Lite released?,2015
What is the display resolution of Gigabyte GSmart Classic Lite?,5.0 inches 
What is the resolution of the display on Gigabyte GSmart Classic Lite?,5.0 inches 
How many pixels does the display of Gigabyte GSmart Classic Lite have?,5.0 inches 
What is the display size of Gigabyte GSmart Classic Lite?,480 x 854 pixels 
How big is the display on Gigabyte GSmart Classic Lite?,480 x 854 pixels 
What is the diagonal size of the display on Gigabyte GSmart Classic Lite?,480 x 854 pixels 
What is the operating system of Gigabyte GSmart Classic Lite?,Android 4.4 
Which operating system does Gigabyte GSmart Classic Lite use?,Android 4.4 
What is the software platform on Gigabyte GSmart Classic Lite?,Android 4.4 
What is the CPU of Gigabyte GSmart Classic Lite?,Quad-core 1.2 GHz
What kind of processor does Gigabyte GSmart Classic Lite have?,Quad-core 1.2 GHz
Which CPU is used in Gigabyte GSmart Classic Lite?,Quad-core 1.2 GHz
How much RAM does Gigabyte GSmart Classic Lite have?,8 GB
What is the memory capacity of Gigabyte GSmart Classic Lite?,8 GB
What is the RAM size on Gigabyte GSmart Classic Lite?,8 GB
What is the resolution of the front camera on Gigabyte GSmart Classic Lite?,5 MP| LED flash
How many megapixels is the front camera on Gigabyte GSmart Classic Lite?,5 MP| LED flash
What is the quality of the front-facing camera on Gigabyte GSmart Classic Lite?,5 MP| LED flash
What is the price of Gigabyte GSmart Classic Lite?,80.0
How much does Gigabyte GSmart Classic Lite cost?,80.0
What is the price tag of Gigabyte GSmart Classic Lite?,80.0
What is the published year of Gigabyte GSmart Essence?,2015
When was Gigabyte GSmart Essence published?,2015
In which year was Gigabyte GSmart Essence released?,2015
What is the display resolution of Gigabyte GSmart Essence?,4.5 inches 
What is the resolution of the display on Gigabyte GSmart Essence?,4.5 inches 
How many pixels does the display of Gigabyte GSmart Essence have?,4.5 inches 
What is the display size of Gigabyte GSmart Essence?,480 x 854 pixels 
How big is the display on Gigabyte GSmart Essence?,480 x 854 pixels 
What is the diagonal size of the display on Gigabyte GSmart Essence?,480 x 854 pixels 
What is the operating system of Gigabyte GSmart Essence?,Android 4.4 
Which operating system does Gigabyte GSmart Essence use?,Android 4.4 
What is the software platform on Gigabyte GSmart Essence?,Android 4.4 
What is the CPU of Gigabyte GSmart Essence?,Quad-core 1.2 GHz
What kind of processor does Gigabyte GSmart Essence have?,Quad-core 1.2 GHz
Which CPU is used in Gigabyte GSmart Essence?,Quad-core 1.2 GHz
How much RAM does Gigabyte GSmart Essence have?,8 GB
What is the memory capacity of Gigabyte GSmart Essence?,8 GB
What is the RAM size on Gigabyte GSmart Essence?,8 GB
What is the resolution of the front camera on Gigabyte GSmart Essence?,5 MP| LED flash
How many megapixels is the front camera on Gigabyte GSmart Essence?,5 MP| LED flash
What is the quality of the front-facing camera on Gigabyte GSmart Essence?,5 MP| LED flash
What is the price of Gigabyte GSmart Essence?,70.0
How much does Gigabyte GSmart Essence cost?,70.0
What is the price tag of Gigabyte GSmart Essence?,70.0
What is the published year of Gigabyte GSmart Classic?,2015
When was Gigabyte GSmart Classic published?,2015
In which year was Gigabyte GSmart Classic released?,2015
What is the display resolution of Gigabyte GSmart Classic?,5.0 inches 
What is the resolution of the display on Gigabyte GSmart Classic?,5.0 inches 
How many pixels does the display of Gigabyte GSmart Classic have?,5.0 inches 
What is the display size of Gigabyte GSmart Classic?,720 x 1280 pixels 
How big is the display on Gigabyte GSmart Classic?,720 x 1280 pixels 
What is the diagonal size of the display on Gigabyte GSmart Classic?,720 x 1280 pixels 
What is the operating system of Gigabyte GSmart Classic?,Android 5.1 
Which operating system does Gigabyte GSmart Classic use?,Android 5.1 
What is the software platform on Gigabyte GSmart Classic?,Android 5.1 
What is the CPU of Gigabyte GSmart Classic?,Quad-core 1.2 GHz
What kind of processor does Gigabyte GSmart Classic have?,Quad-core 1.2 GHz
Which CPU is used in Gigabyte GSmart Classic?,Quad-core 1.2 GHz
How much RAM does Gigabyte GSmart Classic have?,8 GB
What is the memory capacity of Gigabyte GSmart Classic?,8 GB
What is the RAM size on Gigabyte GSmart Classic?,8 GB
What is the resolution of the front camera on Gigabyte GSmart Classic?,8 MP| autofocus| LED flash
How many megapixels is the front camera on Gigabyte GSmart Classic?,8 MP| autofocus| LED flash
What is the quality of the front-facing camera on Gigabyte GSmart Classic?,8 MP| autofocus| LED flash
What is the price of Gigabyte GSmart Classic?,100.0
How much does Gigabyte GSmart Classic cost?,100.0
What is the price tag of Gigabyte GSmart Classic?,100.0
What is the published year of Gigabyte GSmart Mika M2?,2014
When was Gigabyte GSmart Mika M2 published?,2014
In which year was Gigabyte GSmart Mika M2 released?,2014
What is the display resolution of Gigabyte GSmart Mika M2?,5.0 inches 
What is the resolution of the display on Gigabyte GSmart Mika M2?,5.0 inches 
How many pixels does the display of Gigabyte GSmart Mika M2 have?,5.0 inches 
What is the display size of Gigabyte GSmart Mika M2?,720 x 1280 pixels 
How big is the display on Gigabyte GSmart Mika M2?,720 x 1280 pixels 
What is the diagonal size of the display on Gigabyte GSmart Mika M2?,720 x 1280 pixels 
What is the operating system of Gigabyte GSmart Mika M2?,Android 4.4.2 
Which operating system does Gigabyte GSmart Mika M2 use?,Android 4.4.2 
What is the software platform on Gigabyte GSmart Mika M2?,Android 4.4.2 
What is the CPU of Gigabyte GSmart Mika M2?,Quad-core 1.3 GHz Cortex-A7
What kind of processor does Gigabyte GSmart Mika M2 have?,Quad-core 1.3 GHz Cortex-A7
Which CPU is used in Gigabyte GSmart Mika M2?,Quad-core 1.3 GHz Cortex-A7
How much RAM does Gigabyte GSmart Mika M2 have?,8 GB
What is the memory capacity of Gigabyte GSmart Mika M2?,8 GB
What is the RAM size on Gigabyte GSmart Mika M2?,8 GB
What is the resolution of the front camera on Gigabyte GSmart Mika M2?,13 MP| autofocus| LED flash
How many megapixels is the front camera on Gigabyte GSmart Mika M2?,13 MP| autofocus| LED flash
What is the quality of the front-facing camera on Gigabyte GSmart Mika M2?,13 MP| autofocus| LED flash
What is the price of Gigabyte GSmart Mika M2?,190.0
How much does Gigabyte GSmart Mika M2 cost?,190.0
What is the price tag of Gigabyte GSmart Mika M2?,190.0
What is the published year of Gigabyte GSmart T4?,2014
When was Gigabyte GSmart T4 published?,2014
In which year was Gigabyte GSmart T4 released?,2014
What is the display resolution of Gigabyte GSmart T4?,4.0 inches 
What is the resolution of the display on Gigabyte GSmart T4?,4.0 inches 
How many pixels does the display of Gigabyte GSmart T4 have?,4.0 inches 
What is the display size of Gigabyte GSmart T4?,480 x 800 pixels 
How big is the display on Gigabyte GSmart T4?,480 x 800 pixels 
What is the diagonal size of the display on Gigabyte GSmart T4?,480 x 800 pixels 
What is the operating system of Gigabyte GSmart T4?,Android 4.2 
Which operating system does Gigabyte GSmart T4 use?,Android 4.2 
What is the software platform on Gigabyte GSmart T4?,Android 4.2 
What is the CPU of Gigabyte GSmart T4?,Dual-core 1.3 GHz Cortex-A7
What kind of processor does Gigabyte GSmart T4 have?,Dual-core 1.3 GHz Cortex-A7
Which CPU is used in Gigabyte GSmart T4?,Dual-core 1.3 GHz Cortex-A7
How much RAM does Gigabyte GSmart T4 have?,4 GB
What is the memory capacity of Gigabyte GSmart T4?,4 GB
What is the RAM size on Gigabyte GSmart T4?,4 GB
What is the resolution of the front camera on Gigabyte GSmart T4?,8 MP| autofocus| LED flash
How many megapixels is the front camera on Gigabyte GSmart T4?,8 MP| autofocus| LED flash
What is the quality of the front-facing camera on Gigabyte GSmart T4?,8 MP| autofocus| LED flash
What is the price of Gigabyte GSmart T4?,100.0
How much does Gigabyte GSmart T4 cost?,100.0
What is the price tag of Gigabyte GSmart T4?,100.0
What is the published year of Gionee A1 Lite?,2017
When was Gionee A1 Lite published?,2017
In which year was Gionee A1 Lite released?,2017
What is the display resolution of Gionee A1 Lite?,5.3 inches
What is the resolution of the display on Gionee A1 Lite?,5.3 inches
How many pixels does the display of Gionee A1 Lite have?,5.3 inches
What is the display size of Gionee A1 Lite?,720 x 1280 pixels 
How big is the display on Gionee A1 Lite?,720 x 1280 pixels 
What is the diagonal size of the display on Gionee A1 Lite?,720 x 1280 pixels 
What is the operating system of Gionee A1 Lite?,Android 7.0 
Which operating system does Gionee A1 Lite use?,Android 7.0 
What is the software platform on Gionee A1 Lite?,Android 7.0 
What is the CPU of Gionee A1 Lite?,Octa-core 1.3 GHz Cortex-A53
What kind of processor does Gionee A1 Lite have?,Octa-core 1.3 GHz Cortex-A53
Which CPU is used in Gionee A1 Lite?,Octa-core 1.3 GHz Cortex-A53
How much RAM does Gionee A1 Lite have?,32 GB
What is the memory capacity of Gionee A1 Lite?,32 GB
What is the RAM size on Gionee A1 Lite?,32 GB
What is the resolution of the front camera on Gionee A1 Lite?,13 MP| f/2.0| phase detection autofocus| dual-LED flash
How many megapixels is the front camera on Gionee A1 Lite?,13 MP| f/2.0| phase detection autofocus| dual-LED flash
What is the quality of the front-facing camera on Gionee A1 Lite?,13 MP| f/2.0| phase detection autofocus| dual-LED flash
What is the price of Gionee A1 Lite?,27000.0
How much does Gionee A1 Lite cost?,27000.0
What is the price tag of Gionee A1 Lite?,27000.0
What is the published year of Gionee S10?,2017
When was Gionee S10 published?,2017
In which year was Gionee S10 released?,2017
What is the display resolution of Gionee S10?,5.5 inches 
